State,Town,Crimes,Type
Arizona,University of Arizona,0,Disability
Arizona,University of Arizona,0,Gender
Arizona,University of Arizona,0,Gender Identity
Arizona,Yuma,4,Race
Arizona,Yuma,4,Religion
Arizona,Yuma,0,Sexual Orientation
Arizona,Yuma,4,Ethinictity
Arizona,Yuma,0,Disability
Arizona,Yuma,0,Gender
Arizona,Yuma,0,Gender Identity
Arkansas,Bentonville,1,Race
Arkansas,Bentonville,0,Religion
Arkansas,Bentonville,0,Sexual Orientation
Arkansas,Bentonville,0,Ethinictity
Arkansas,Bentonville,0,Disability
Arkansas,Bentonville,0,Gender
Arkansas,Bentonville,0,Gender Identity
Arkansas,Berryville,1,Race
Arkansas,Berryville,0,Religion
Arkansas,Berryville,0,Sexual Orientation
Arkansas,Berryville,0,Ethinictity
Arkansas,Berryville,0,Disability
Arkansas,Berryville,0,Gender
Arkansas,Berryville,0,Gender Identity
Arkansas,Cabot,1,Race
Arkansas,Cabot,0,Religion
Arkansas,Cabot,0,Sexual Orientation
Arkansas,Cabot,0,Ethinictity
Arkansas,Cabot,0,Disability
Arkansas,Cabot,0,Gender
Arkansas,Cabot,0,Gender Identity
Arkansas,Crawford,2,Race
Arkansas,Crawford,0,Religion
Arkansas,Crawford,2,Sexual Orientation
Arkansas,Crawford,0,Ethinictity
Arkansas,Crawford,0,Disability
Arkansas,Crawford,0,Gender
Arkansas,Crawford,0,Gender Identity
Arkansas,England,1,Race
Arkansas,England,0,Religion
Arkansas,England,0,Sexual Orientation
Arkansas,England,0,Ethinictity
Arkansas,England,0,Disability
Arkansas,England,0,Gender
Arkansas,England,0,Gender Identity
Arkansas,Fairfield Bay,1,Race
Arkansas,Fairfield Bay,0,Religion
Arkansas,Fairfield Bay,0,Sexual Orientation
Arkansas,Fairfield Bay,0,Ethinictity
Arkansas,Fairfield Bay,0,Disability
Arkansas,Fairfield Bay,0,Gender
Arkansas,Fairfield Bay,0,Gender Identity
Arkansas,Faulkner,1,Race
Arkansas,Faulkner,0,Religion
Arkansas,Faulkner,0,Sexual Orientation
Arkansas,Faulkner,1,Ethinictity
Arkansas,Faulkner,0,Disability
Arkansas,Faulkner,0,Gender
Arkansas,Faulkner,0,Gender Identity
Arkansas,Fort Smith,1,Race
Arkansas,Fort Smith,0,Religion
Arkansas,Fort Smith,1,Sexual Orientation
Arkansas,Fort Smith,0,Ethinictity
Arkansas,Fort Smith,0,Disability
Arkansas,Fort Smith,0,Gender
Arkansas,Fort Smith,0,Gender Identity
Arkansas,Greene,1,Race
Arkansas,Greene,0,Religion
Arkansas,Greene,0,Sexual Orientation
Arkansas,Greene,0,Ethinictity
Arkansas,Greene,0,Disability
Arkansas,Greene,0,Gender
Arkansas,Greene,0,Gender Identity
Arkansas,Gurdon,1,Race
Arkansas,Gurdon,0,Religion
Arkansas,Gurdon,0,Sexual Orientation
Arkansas,Gurdon,0,Ethinictity
Arkansas,Gurdon,0,Disability
Arkansas,Gurdon,0,Gender
Arkansas,Gurdon,0,Gender Identity
Arkansas,Lonoke,1,Race
Arkansas,Lonoke,0,Religion
Arkansas,Lonoke,0,Sexual Orientation
Arkansas,Lonoke,0,Ethinictity
Arkansas,Lonoke,0,Disability
Arkansas,Lonoke,0,Gender
Arkansas,Lonoke,0,Gender Identity
Arkansas,Marion,0,Race
Arkansas,Marion,0,Religion
Arkansas,Marion,1,Sexual Orientation
Arkansas,Marion,0,Ethinictity
Arkansas,Marion,0,Disability
Arkansas,Marion,0,Gender
Arkansas,Marion,0,Gender Identity
Arkansas,North Little Rock,1,Race
Arkansas,North Little Rock,0,Religion
Arkansas,North Little Rock,0,Sexual Orientation
Arkansas,North Little Rock,0,Ethinictity
Arkansas,North Little Rock,0,Disability
Arkansas,North Little Rock,0,Gender
Arkansas,North Little Rock,0,Gender Identity
Arkansas,Pine Bluff,0,Race
Arkansas,Pine Bluff,0,Religion
Arkansas,Pine Bluff,1,Sexual Orientation
Arkansas,Pine Bluff,0,Ethinictity
Arkansas,Pine Bluff,0,Disability
Arkansas,Pine Bluff,0,Gender
Arkansas,Pine Bluff,0,Gender Identity
Arkansas,Pope,0,Race
Arkansas,Pope,0,Religion
Arkansas,Pope,1,Sexual Orientation
Arkansas,Pope,0,Ethinictity
Arkansas,Pope,0,Disability
Arkansas,Pope,0,Gender
Arkansas,Pope,0,Gender Identity
Arkansas,Pulaski,1,Race
Arkansas,Pulaski,0,Religion
Arkansas,Pulaski,1,Sexual Orientation
Arkansas,Pulaski,1,Ethinictity
Arkansas,Pulaski,0,Disability
Arkansas,Pulaski,0,Gender
Arkansas,Pulaski,0,Gender Identity
Arkansas,Rogers,1,Race
Arkansas,Rogers,0,Religion
Arkansas,Rogers,0,Sexual Orientation
Arkansas,Rogers,0,Ethinictity
Arkansas,Rogers,0,Disability
Arkansas,Rogers,0,Gender
Arkansas,Rogers,0,Gender Identity
Arkansas,Sebastian,1,Race
Arkansas,Sebastian,0,Religion
Arkansas,Sebastian,0,Sexual Orientation
Arkansas,Sebastian,0,Ethinictity
Arkansas,Sebastian,0,Disability
Arkansas,Sebastian,0,Gender
Arkansas,Sebastian,0,Gender Identity
Arkansas,Sherwood,1,Race
Arkansas,Sherwood,0,Religion
Arkansas,Sherwood,0,Sexual Orientation
Arkansas,Sherwood,0,Ethinictity
Arkansas,Sherwood,0,Disability
Arkansas,Sherwood,0,Gender
Arkansas,Sherwood,0,Gender Identity
Arkansas,"University of Arkansas, Pine Bluff",0,Race
Arkansas,"University of Arkansas, Pine Bluff",0,Religion
Arkansas,"University of Arkansas, Pine Bluff",1,Sexual Orientation
Arkansas,"University of Arkansas, Pine Bluff",0,Ethinictity
Arkansas,"University of Arkansas, Pine Bluff",0,Disability
Arkansas,"University of Arkansas, Pine Bluff",0,Gender
Arkansas,"University of Arkansas, Pine Bluff",0,Gender Identity
California,Adelanto,1,Race
California,Adelanto,0,Religion
California,Adelanto,0,Sexual Orientation
California,Adelanto,0,Ethinictity
California,Adelanto,0,Disability
California,Adelanto,0,Gender
California,Adelanto,0,Gender Identity
California,Agoura Hills,2,Race
California,Agoura Hills,0,Religion
California,Agoura Hills,0,Sexual Orientation
California,Agoura Hills,0,Ethinictity
California,Agoura Hills,0,Disability
California,Agoura Hills,0,Gender
California,Agoura Hills,0,Gender Identity
California,Alameda,0,Race
California,Alameda,1,Religion
California,Alameda,0,Sexual Orientation
California,Alameda,0,Ethinictity
California,Alameda,0,Disability
California,Alameda,0,Gender
California,Alameda,0,Gender Identity
California,Alhambra,1,Race
California,Alhambra,0,Religion
California,Alhambra,0,Sexual Orientation
California,Alhambra,0,Ethinictity
California,Alhambra,0,Disability
California,Alhambra,0,Gender
California,Alhambra,0,Gender Identity
California,Alpine,1,Race
California,Alpine,0,Religion
California,Alpine,0,Sexual Orientation
California,Alpine,0,Ethinictity
California,Alpine,0,Disability
California,Alpine,0,Gender
California,Alpine,0,Gender Identity
California,Amador,0,Race
California,Amador,0,Religion
California,Amador,1,Sexual Orientation
California,Amador,0,Ethinictity
California,Amador,0,Disability
California,Amador,0,Gender
California,Amador,0,Gender Identity
California,Antioch,2,Race
California,Antioch,0,Religion
California,Antioch,0,Sexual Orientation
California,Antioch,0,Ethinictity
California,Antioch,0,Disability
California,Antioch,0,Gender
California,Antioch,0,Gender Identity
California,Arcadia,1,Race
California,Arcadia,0,Religion
California,Arcadia,0,Sexual Orientation
California,Arcadia,0,Ethinictity
California,Arcadia,0,Disability
California,Arcadia,0,Gender
California,Arcadia,0,Gender Identity
California,Atascadero,1,Race
California,Atascadero,0,Religion
California,Atascadero,0,Sexual Orientation
California,Atascadero,1,Ethinictity
California,Atascadero,0,Disability
California,Atascadero,0,Gender
California,Atascadero,0,Gender Identity
California,Atwater,0,Race
California,Atwater,0,Religion
California,Atwater,0,Sexual Orientation
California,Atwater,1,Ethinictity
California,Atwater,0,Disability
California,Atwater,0,Gender
California,Atwater,0,Gender Identity
California,Auburn,1,Race
California,Auburn,0,Religion
California,Auburn,0,Sexual Orientation
California,Auburn,0,Ethinictity
California,Auburn,0,Disability
California,Auburn,0,Gender
California,Auburn,0,Gender Identity
California,Azusa,1,Race
California,Azusa,0,Religion
California,Azusa,0,Sexual Orientation
California,Azusa,0,Ethinictity
California,Azusa,0,Disability
California,Azusa,0,Gender
California,Azusa,0,Gender Identity
California,Bakersfield,2,Race
California,Bakersfield,1,Religion
California,Bakersfield,0,Sexual Orientation
California,Bakersfield,0,Ethinictity
California,Bakersfield,0,Disability
California,Bakersfield,0,Gender
California,Bakersfield,0,Gender Identity
California,Baldwin Park,0,Race
California,Baldwin Park,0,Religion
California,Baldwin Park,1,Sexual Orientation
California,Baldwin Park,0,Ethinictity
California,Baldwin Park,0,Disability
California,Baldwin Park,0,Gender
California,Baldwin Park,0,Gender Identity
California,Banning,0,Race
California,Banning,0,Religion
California,Banning,0,Sexual Orientation
California,Banning,1,Ethinictity
California,Banning,0,Disability
California,Banning,0,Gender
California,Banning,0,Gender Identity
California,Berkeley,7,Race
California,Berkeley,1,Religion
California,Berkeley,4,Sexual Orientation
California,Berkeley,1,Ethinictity
California,Berkeley,0,Disability
California,Berkeley,0,Gender
California,Berkeley,0,Gender Identity
California,Beverly Hills,0,Race
California,Beverly Hills,10,Religion
California,Beverly Hills,0,Sexual Orientation
California,Beverly Hills,0,Ethinictity
California,Beverly Hills,0,Disability
California,Beverly Hills,0,Gender
California,Beverly Hills,0,Gender Identity
California,Brentwood,4,Race
California,Brentwood,0,Religion
California,Brentwood,0,Sexual Orientation
California,Brentwood,0,Ethinictity
California,Brentwood,0,Disability
California,Brentwood,0,Gender
California,Brentwood,0,Gender Identity
California,Buena Park,0,Race
California,Buena Park,0,Religion
California,Buena Park,1,Sexual Orientation
California,Buena Park,1,Ethinictity
California,Buena Park,0,Disability
California,Buena Park,0,Gender
California,Buena Park,0,Gender Identity
California,Burbank,1,Race
California,Burbank,1,Religion
California,Burbank,2,Sexual Orientation
California,Burbank,1,Ethinictity
California,Burbank,0,Disability
California,Burbank,0,Gender
California,Burbank,0,Gender Identity
California,Calabasas,0,Race
California,Calabasas,2,Religion
California,Calabasas,0,Sexual Orientation
California,Calabasas,0,Ethinictity
California,Calabasas,0,Disability
California,Calabasas,0,Gender
California,Calabasas,0,Gender Identity
California,Calaveras,0,Race
California,Calaveras,0,Religion
California,Calaveras,0,Sexual Orientation
California,Calaveras,1,Ethinictity
California,Calaveras,0,Disability
California,Calaveras,0,Gender
California,Calaveras,0,Gender Identity
California,California State Polytechnic University: Pomona,0,Race
California,California State Polytechnic University: Pomona,0,Religion
California,California State Polytechnic University: Pomona,0,Sexual Orientation
California,California State Polytechnic University: Pomona,1,Ethinictity
California,California State Polytechnic University: Pomona,0,Disability
California,California State Polytechnic University: Pomona,0,Gender
California,California State Polytechnic University: Pomona,0,Gender Identity
California,California State Polytechnic University: San Luis Obispo,0,Race
California,California State Polytechnic University: San Luis Obispo,0,Religion
California,California State Polytechnic University: San Luis Obispo,1,Sexual Orientation
California,California State Polytechnic University: San Luis Obispo,0,Ethinictity
California,California State Polytechnic University: San Luis Obispo,0,Disability
California,California State Polytechnic University: San Luis Obispo,0,Gender
California,California State Polytechnic University: San Luis Obispo,0,Gender Identity
California,California State University: Dominguez Hills,1,Race
California,California State University: Dominguez Hills,0,Religion
California,California State University: Dominguez Hills,1,Sexual Orientation
California,California State University: Dominguez Hills,0,Ethinictity
California,California State University: Dominguez Hills,0,Disability
California,California State University: Dominguez Hills,0,Gender
California,California State University: Dominguez Hills,0,Gender Identity
California,California State University: Long Beach,1,Race
California,California State University: Long Beach,0,Religion
California,California State University: Long Beach,0,Sexual Orientation
California,California State University: Long Beach,0,Ethinictity
California,California State University: Long Beach,0,Disability
California,California State University: Long Beach,0,Gender
California,California State University: Long Beach,0,Gender Identity
California,California State University: San Bernardino,3,Race
California,California State University: San Bernardino,0,Religion
California,California State University: San Bernardino,0,Sexual Orientation
California,California State University: San Bernardino,0,Ethinictity
California,California State University: San Bernardino,0,Disability
California,California State University: San Bernardino,0,Gender
California,California State University: San Bernardino,0,Gender Identity
California,California State University: San Jose,2,Race
California,California State University: San Jose,0,Religion
California,California State University: San Jose,1,Sexual Orientation
California,California State University: San Jose,1,Ethinictity
California,California State University: San Jose,0,Disability
California,California State University: San Jose,0,Gender
California,California State University: San Jose,0,Gender Identity
California,California State University: San Marcos,0,Race
California,California State University: San Marcos,0,Religion
California,California State University: San Marcos,1,Sexual Orientation
California,California State University: San Marcos,0,Ethinictity
California,California State University: San Marcos,0,Disability
California,California State University: San Marcos,0,Gender
California,California State University: San Marcos,0,Gender Identity
California,California State University: Stanislaus,0,Race
California,California State University: Stanislaus,0,Religion
California,California State University: Stanislaus,1,Sexual Orientation
California,California State University: Stanislaus,0,Ethinictity
California,California State University: Stanislaus,0,Disability
California,California State University: Stanislaus,0,Gender
California,California State University: Stanislaus,0,Gender Identity
California,Camarillo,2,Race
California,Camarillo,1,Religion
California,Camarillo,0,Sexual Orientation
California,Camarillo,0,Ethinictity
California,Camarillo,0,Disability
California,Camarillo,0,Gender
California,Camarillo,0,Gender Identity
California,Campbell,1,Race
California,Campbell,0,Religion
California,Campbell,0,Sexual Orientation
California,Campbell,0,Ethinictity
California,Campbell,0,Disability
California,Campbell,0,Gender
California,Campbell,0,Gender Identity
California,Carlsbad,1,Race
California,Carlsbad,1,Religion
California,Carlsbad,0,Sexual Orientation
California,Carlsbad,1,Ethinictity
California,Carlsbad,0,Disability
California,Carlsbad,0,Gender
California,Carlsbad,0,Gender Identity
California,Carson,1,Race
California,Carson,0,Religion
California,Carson,0,Sexual Orientation
California,Carson,0,Ethinictity
California,Carson,0,Disability
California,Carson,0,Gender
California,Carson,0,Gender Identity
California,Cerritos,3,Race
California,Cerritos,0,Religion
California,Cerritos,0,Sexual Orientation
California,Cerritos,0,Ethinictity
California,Cerritos,0,Disability
California,Cerritos,0,Gender
California,Cerritos,0,Gender Identity
California,Chico,1,Race
California,Chico,3,Religion
California,Chico,0,Sexual Orientation
California,Chico,0,Ethinictity
California,Chico,0,Disability
California,Chico,0,Gender
California,Chico,0,Gender Identity
California,Chino,2,Race
California,Chino,2,Religion
California,Chino,2,Sexual Orientation
California,Chino,3,Ethinictity
California,Chino,0,Disability
California,Chino,0,Gender
California,Chino,0,Gender Identity
California,Chula Vista,3,Race
California,Chula Vista,,Religion
California,Chula Vista,1,Sexual Orientation
California,Chula Vista,0,Ethinictity
California,Chula Vista,0,Disability
California,Chula Vista,0,Gender
California,Chula Vista,0,Gender Identity
California,Citrus Heights,1,Race
California,Citrus Heights,0,Religion
California,Citrus Heights,0,Sexual Orientation
California,Citrus Heights,0,Ethinictity
California,Citrus Heights,0,Disability
California,Citrus Heights,0,Gender
California,Citrus Heights,0,Gender Identity
California,Claremont,1,Race
California,Claremont,1,Religion
California,Claremont,1,Sexual Orientation
California,Claremont,0,Ethinictity
California,Claremont,0,Disability
California,Claremont,0,Gender
California,Claremont,0,Gender Identity
California,Clearlake,1,Race
California,Clearlake,0,Religion
California,Clearlake,1,Sexual Orientation
California,Clearlake,0,Ethinictity
California,Clearlake,0,Disability
California,Clearlake,0,Gender
California,Clearlake,0,Gender Identity
California,Clovis,0,Race
California,Clovis,1,Religion
California,Clovis,2,Sexual Orientation
California,Clovis,1,Ethinictity
California,Clovis,0,Disability
California,Clovis,0,Gender
California,Clovis,0,Gender Identity
California,Colton,1,Race
California,Colton,,Religion
California,Colton,0,Sexual Orientation
California,Colton,0,Ethinictity
California,Colton,0,Disability
California,Colton,0,Gender
California,Colton,0,Gender Identity
California,Compton,1,Race
California,Compton,0,Religion
California,Compton,1,Sexual Orientation
California,Compton,0,Ethinictity
California,Compton,0,Disability
California,Compton,0,Gender
California,Compton,0,Gender Identity
California,Concord,1,Race
California,Concord,0,Religion
California,Concord,0,Sexual Orientation
California,Concord,0,Ethinictity
California,Concord,0,Disability
California,Concord,0,Gender
California,Concord,0,Gender Identity
California,Corcoran,1,Race
California,Corcoran,0,Religion
California,Corcoran,0,Sexual Orientation
California,Corcoran,0,Ethinictity
California,Corcoran,0,Disability
California,Corcoran,0,Gender
California,Corcoran,0,Gender Identity
California,Corona,0,Race
California,Corona,0,Religion
California,Corona,0,Sexual Orientation
California,Corona,1,Ethinictity
California,Corona,0,Disability
California,Corona,0,Gender
California,Corona,0,Gender Identity
California,Coronado,0,Race
California,Coronado,1,Religion
California,Coronado,0,Sexual Orientation
California,Coronado,0,Ethinictity
California,Coronado,0,Disability
California,Coronado,0,Gender
California,Coronado,0,Gender Identity
California,Costa Mesa,1,Race
California,Costa Mesa,0,Religion
California,Costa Mesa,0,Sexual Orientation
California,Costa Mesa,0,Ethinictity
California,Costa Mesa,0,Disability
California,Costa Mesa,0,Gender
California,Costa Mesa,0,Gender Identity
California,Covina,0,Race
California,Covina,2,Religion
California,Covina,1,Sexual Orientation
California,Covina,0,Ethinictity
California,Covina,0,Disability
California,Covina,0,Gender
California,Covina,0,Gender Identity
California,Cupertino,0,Race
California,Cupertino,0,Religion
California,Cupertino,0,Sexual Orientation
California,Cupertino,0,Ethinictity
California,Cupertino,0,Disability
California,Cupertino,0,Gender
California,Cupertino,1,Gender Identity
California,Cypress,0,Race
California,Cypress,0,Religion
California,Cypress,0,Sexual Orientation
California,Cypress,1,Ethinictity
California,Cypress,0,Disability
California,Cypress,0,Gender
California,Cypress,0,Gender Identity
California,Daly City,0,Race
California,Daly City,2,Religion
California,Daly City,1,Sexual Orientation
California,Daly City,0,Ethinictity
California,Daly City,0,Disability
California,Daly City,0,Gender
California,Daly City,0,Gender Identity
California,Dana Point,0,Race
California,Dana Point,1,Religion
California,Dana Point,0,Sexual Orientation
California,Dana Point,0,Ethinictity
California,Dana Point,0,Disability
California,Dana Point,0,Gender
California,Dana Point,0,Gender Identity
California,Davis,2,Race
California,Davis,1,Religion
California,Davis,4,Sexual Orientation
California,Davis,1,Ethinictity
California,Davis,0,Disability
California,Davis,0,Gender
California,Davis,0,Gender Identity
California,"Department of Parks and Recreation, Tehachapi District",1,Race
California,"Department of Parks and Recreation, Tehachapi District",0,Religion
California,"Department of Parks and Recreation, Tehachapi District",0,Sexual Orientation
California,"Department of Parks and Recreation, Tehachapi District",0,Ethinictity
California,"Department of Parks and Recreation, Tehachapi District",0,Disability
California,"Department of Parks and Recreation, Tehachapi District",0,Gender
California,"Department of Parks and Recreation, Tehachapi District",0,Gender Identity
California,"Department of Parks and Recreation, Tehachapi District",1,Race
California,"Department of Parks and Recreation, Tehachapi District",0,Religion
California,"Department of Parks and Recreation, Tehachapi District",0,Sexual Orientation
California,"Department of Parks and Recreation, Tehachapi District",0,Ethinictity
California,"Department of Parks and Recreation, Tehachapi District",0,Disability
California,"Department of Parks and Recreation, Tehachapi District",0,Gender
California,"Department of Parks and Recreation, Tehachapi District",0,Gender Identity
California,Duarte,1,Race
California,Duarte,0,Religion
California,Duarte,1,Sexual Orientation
California,Duarte,0,Ethinictity
California,Duarte,0,Disability
California,Duarte,0,Gender
California,Duarte,0,Gender Identity
California,El Cajon,1,Race
California,El Cajon,0,Religion
California,El Cajon,0,Sexual Orientation
California,El Cajon,1,Ethinictity
California,El Cajon,0,Disability
California,El Cajon,0,Gender
California,El Cajon,0,Gender Identity
California,El Cerrito,1,Race
California,El Cerrito,2,Religion
California,El Cerrito,1,Sexual Orientation
California,El Cerrito,4,Ethinictity
California,El Cerrito,0,Disability
California,El Cerrito,0,Gender
California,El Cerrito,0,Gender Identity
California,El Dorado,0,Race
California,El Dorado,0,Religion
California,El Dorado,1,Sexual Orientation
California,El Dorado,1,Ethinictity
California,El Dorado,0,Disability
California,El Dorado,0,Gender
California,El Dorado,0,Gender Identity
California,El Monte,5,Race
California,El Monte,0,Religion
California,El Monte,0,Sexual Orientation
California,El Monte,0,Ethinictity
California,El Monte,0,Disability
California,El Monte,0,Gender
California,El Monte,0,Gender Identity
California,Elk Grove,1,Race
California,Elk Grove,0,Religion
California,Elk Grove,0,Sexual Orientation
California,Elk Grove,0,Ethinictity
California,Elk Grove,0,Disability
California,Elk Grove,0,Gender
California,Elk Grove,0,Gender Identity
California,Emeryville,1,Race
California,Emeryville,0,Religion
California,Emeryville,0,Sexual Orientation
California,Emeryville,0,Ethinictity
California,Emeryville,0,Disability
California,Emeryville,0,Gender
California,Emeryville,0,Gender Identity
California,Encinitas,2,Race
California,Encinitas,1,Religion
California,Encinitas,0,Sexual Orientation
California,Encinitas,1,Ethinictity
California,Encinitas,0,Disability
California,Encinitas,0,Gender
California,Encinitas,0,Gender Identity
California,Escondido,4,Race
California,Escondido,1,Religion
California,Escondido,1,Sexual Orientation
California,Escondido,2,Ethinictity
California,Escondido,0,Disability
California,Escondido,0,Gender
California,Escondido,0,Gender Identity
California,Eureka,1,Race
California,Eureka,0,Religion
California,Eureka,1,Sexual Orientation
California,Eureka,0,Ethinictity
California,Eureka,0,Disability
California,Eureka,0,Gender
California,Eureka,0,Gender Identity
California,Fairfield,2,Race
California,Fairfield,0,Religion
California,Fairfield,0,Sexual Orientation
California,Fairfield,1,Ethinictity
California,Fairfield,0,Disability
California,Fairfield,0,Gender
California,Fairfield,0,Gender Identity
California,Fontana,1,Race
California,Fontana,0,Religion
California,Fontana,0,Sexual Orientation
California,Fontana,0,Ethinictity
California,Fontana,0,Disability
California,Fontana,0,Gender
California,Fontana,0,Gender Identity
California,Fontana Unified School District,1,Race
California,Fontana Unified School District,0,Religion
California,Fontana Unified School District,0,Sexual Orientation
California,Fontana Unified School District,0,Ethinictity
California,Fontana Unified School District,0,Disability
California,Fontana Unified School District,0,Gender
California,Fontana Unified School District,0,Gender Identity
California,Foster City,1,Race
California,Foster City,0,Religion
California,Foster City,0,Sexual Orientation
California,Foster City,0,Ethinictity
California,Foster City,0,Disability
California,Foster City,0,Gender
California,Foster City,0,Gender Identity
California,Fresno,4,Race
California,Fresno,0,Religion
California,Fresno,3,Sexual Orientation
California,Fresno,2,Ethinictity
California,Fresno,0,Disability
California,Fresno,0,Gender
California,Fresno,1,Gender Identity
